true_label,cnn_prob,fusion_prob
1,0.39963209507789,0.36924417654976477
1,0.8605714451279329,0.5933424020126347
0,0.685595153449124,0.6711363106814914
0,0.5789267873576293,0.8137934429657613
1,0.22481491235394924,0.31513701740848254
0,0.22479561626896213,0.15879666292678438
1,0.14646688973455957,0.2595085040550458
1,0.7929409166199481,0.870014913478484
0,0.5808920093945671,0.8491120620500121
1,0.6664580622368363,0.6279304817362465
1,0.11646759543664197,0.6304134883469227
1,0.8759278817295955,0.6820293396370044
1,0.7659541126403374,0.2902970228987597
0,0.26987128854262094,0.8815295567399678
1,0.24545997376568052,0.4850164199136584
0,0.24672360788274705,0.45651082259959797
1,0.3433937943676302,0.5651341642262699
1,0.5198051453057903,0.18757277342004403
0,0.4455560149136927,0.28302669500486355
1,0.3329833121584336,0.7404268931410963
0,0.5894823157779036,0.21623893434010116
0,0.21159508852163347,0.6325216875731106
0,0.3337157188281745,0.34627928774505673
1,0.39308947463495336,0.4614364912335812
1,0.46485598737362877,0.38095498941655986
1,0.728140769114411,0.4345381731719593
1,0.25973902572668783,0.7252367241473964
0,0.5113875507308893,0.38769737249853997
0,0.573931655089634,0.6031237122375177
1,0.13716033017599819,0.5308403217592796
1,0.5860358815211507,0.6809369322901185
0,0.23641929894983324,0.8994637914598064
1,0.15204127438822362,0.7360576777682002
0,0.8591084298026667,0.3219523028726054
1,0.8725056264596475,0.17494650804902773
1,0.746717878493169,0.35981123543986004
0,0.34369101533869656,0.6260623445602038
0,0.1781376912051071,0.19114065078740028
1,0.6473864212097256,0.5470929977609891
1,0.45212199499168104,0.6274742791335113
1,0.19763058787582308,0.41739511265356866
0,0.4961415280890161,0.7667297629966575
0,0.12751081689217472,0.23527860250701743
0,0.8274563216630256,0.210110225388647
1,0.3070239852800135,0.7325510049628826
0,0.6300178274831856,0.5463930529649588
0,0.34936886087152874,0.7007219171421888
1,0.5160544169422486,0.49786187088299694
0,0.5373682234746238,0.3471216265912854
0,0.24788356442042164,0.8052818541393597
0,0.8756677022116469,0.7895327031751834
1,0.7201062586888917,0.7057571766835414
0,0.8515991532513513,0.3677161097839701
1,0.815861880342119,0.6221845334952696
1,0.5783199830488681,0.43877911755202137
1,0.8374993880184934,0.22326565866130732
0,0.1707940016415356,0.8838508603697942
1,0.25678628993531616,0.2594549047351691
0,0.13618183112843046,0.910189883056642
1,0.36026426461061145,0.5068046183663646
0,0.4109418317515856,0.2981063430708957
0,0.3170792254191167,0.5835207579026864
0,0.7629900073215435,0.8483566687011266
1,0.38540266135487145,0.7357799091276489
1,0.32474760774990463,0.7952489182891598
1,0.5341568665265988,0.6770266933685739
0,0.21273937997981013,0.703821251614282
1,0.7417575846032317,0.8293565212522553
